,Adj Close,Close,High,Low,Open,Volume
2017-02-16,31084.578125,38020.0,38360.0,37780.0,37800.0,10226350
2017-02-17,30953.765625,37860.0,38040.0,37280.0,37560.0,15377450
2017-02-20,31607.833984375,38660.0,38780.0,38160.0,38220.0,7485800
2017-02-21,31836.75,38940.0,39560.0,38420.0,38540.0,10562600
2017-02-22,32131.09375,39300.0,39340.0,38980.0,39000.0,8539450
2017-02-23,32032.978515625,39180.0,39440.0,39020.0,39020.0,10217300
2017-02-24,31248.09765625,38220.0,39100.0,38060.0,38960.0,9296850
2017-02-27,31117.28515625,38060.0,38140.0,37700.0,38020.0,9033700
2017-02-28,31427.96484375,38440.0,38760.0,37960.0,38060.0,15088700
2017-03-02,32474.470703125,39720.0,39860.0,38420.0,38420.0,21249800
2017-03-03,32392.7109375,39620.0,39720.0,39160.0,39340.0,12708700
2017-03-06,32768.8046875,40080.0,40220.0,39220.0,39220.0,12234850
2017-03-07,32866.91015625,40200.0,40320.0,39800.0,39800.0,10553250
2017-03-08,32866.91015625,40200.0,40620.0,40140.0,40200.0,12140950
2017-03-09,32866.91015625,40200.0,40300.0,40020.0,40200.0,14372250
2017-03-10,32850.5546875,40180.0,40420.0,39860.0,39960.0,10227800
2017-03-13,33193.94140625,40600.0,40980.0,40040.0,40040.0,7424100
2017-03-14,33815.30078125,41360.0,41540.0,40500.0,40620.0,11325050
2017-03-15,33848.015625,41400.0,41440.0,40800.0,40800.0,9587850
2017-03-16,34207.7421875,41840.0,42180.0,41540.0,41800.0,9933150
2017-03-17,34665.6015625,42400.0,42500.0,41720.0,41800.0,12602300
2017-03-20,34256.796875,41900.0,42120.0,41740.0,42000.0,10250050
2017-03-21,34796.41796875,42560.0,42680.0,41760.0,41780.0,14220150
2017-03-22,34714.65625,42460.0,42460.0,41580.0,41600.0,16427250
2017-03-23,34175.046875,41800.0,42360.0,41700.0,42200.0,15397100
2017-03-24,33929.77734375,41500.0,41980.0,41080.0,41600.0,12808150
2017-03-27,33684.49609375,41200.0,41880.0,41180.0,41200.0,12177650
2017-03-28,33913.4140625,41480.0,41840.0,41380.0,41560.0,8216250
2017-03-29,34158.6875,41780.0,41960.0,41580.0,41740.0,10093250
2017-03-30,34437.6015625,41980.0,42440.0,41880.0,41880.0,8204000
2017-03-31,33797.75,41200.0,42020.0,41200.0,41820.0,10500300
2017-04-03,33994.63671875,41440.0,41720.0,41300.0,41400.0,9579400
2017-04-04,34519.6484375,42080.0,42180.0,41520.0,41600.0,12255500
2017-04-05,34568.859375,42140.0,42240.0,41700.0,41900.0,10699700
2017-04-06,34322.76171875,41840.0,42080.0,41600.0,42000.0,9683400
2017-04-07,34125.87890625,41600.0,41820.0,41160.0,41800.0,10021000
2017-04-10,34404.796875,41940.0,41940.0,41500.0,41940.0,7141350
2017-04-11,34125.87890625,41600.0,41940.0,41580.0,41940.0,7172900
2017-04-12,34371.9921875,41900.0,41940.0,41700.0,41860.0,8274900
2017-04-13,34798.5546875,42420.0,42460.0,41660.0,41660.0,9040800
2017-04-14,34470.41796875,42020.0,42260.0,41760.0,42160.0,5462850
2017-04-17,34093.06640625,41560.0,42080.0,41520.0,42000.0,5224750
